公司全名,公司简称,公司规模,融资阶段,区域,职位名称,工作经验,学历要求,工资,职位福利,work_year,salary,月工资
顺丰科技有限公司,顺丰科技有限公司,500-2000人,不需要融资,南山区,python后台开发工程师,4.0,本科,15k-30k,"挑战大,前景好,弹性上班,福利好","['3', '5']","['15', '30']",18.75
深圳点猫科技有限公司,编程猫,500-2000人,B轮,南山区,教材研发——Python,2.0,本科,8k-15k,"能撸猫,氛围好,二次元,有餐补","['1', '3']","['8', '15']",9.75
华润置地有限公司,华润置地,2000人以上,上市公司,南山区,数据工程师（Python）,4.0,本科,13k-26k,"500强,创新业务,福利好","['3', '5']","['13', '26']",16.25
深圳小步网络科技有限公司,小步网络,50-150人,B轮,宝安区,Python后台架构师,7.5,本科,20k-40k,"海外项目,发展空间大,环境宽松,大牛多","['5', '10']","['20', '40']",25.0
富途网络科技（深圳）有限公司,富途网络,500-2000人,C轮,南山区,运营开发工程师（Python）,4.0,本科,15k-30k,"精英团队,弹性工作,行业独角兽,工作氛围","['3', '5']","['15', '30']",18.75
深圳非常牛物流科技有限公司,运个货,15-50人,A轮,南山区,Python数据工程师,4.0,大专,10k-20k,"奖金多,氛围好,大咖多,发展空间大","['3', '5']","['10', '20']",12.5
平安科技（深圳）有限公司,平安科技,2000人以上,不需要融资,福田区,Python后台开发工程师（深圳）,0.0,本科,10k-15k,世界500强 带薪年假 节日福利 绩效丰厚,[],"['10', '15']",11.25
爱客科技（深圳）有限公司,AfterShip,50-150人,不需要融资,南山区,python爬虫后台开发经理,7.5,本科,28k-48k,"高福利,薪资高,全球团队,技术好","['5', '10']","['28', '48']",33.0
深圳市达深信息科技有限公司,达深信息,50-150人,天使轮,南山区,python后台开发工程师,2.0,本科,11k-16k,"期权奖励,优质团队,福利待遇","['1', '3']","['11', '16']",12.25
八零一八零（深圳）科技有限公司,80180,15-50人,A轮,南山区,python游戏服务器开发,4.0,本科,15k-30k,"弹性工作制,腾讯创业团,技术完善,团队成熟","['3', '5']","['15', '30']",18.75
腾讯科技(深圳)有限公司,腾讯,2000人以上,上市公司,南山区,python后台开发工程师（深圳/上海）,4.0,本科,18k-30k,"绩效奖金,五险一金,带薪休假","['3', '5']","['18', '30']",21.0
顺丰科技有限公司,顺丰科技有限公司,500-2000人,不需要融资,南山区,Python开发工程师（人工智能业务）,4.0,本科,15k-30k,"弹性时间,带薪休假,晋升大,氛围好","['3', '5']","['15', '30']",18.75
在线途游（北京）科技有限公司,途游,150-500人,B轮,南山区,python游戏服务端高级技术,0.0,本科,12k-24k,"公司氛围好,弹性工作制",[],"['12', '24']",15.0
OPPO广东移动通信有限公司,OPPO,2000人以上,不需要融资,南山区,Python工程师（运维平台）,4.0,本科,15k-30k,核心事业群 千万级日活 氛围好 组织扁平,"['3', '5']","['15', '30']",18.75
广东科达洁能股份有限公司,科达洁能,2000人以上,上市公司,福田区,Python全栈工程师,2.0,本科,8k-15k,"上市公司,五险一金,项目奖金,生日旅游","['1', '3']","['8', '15']",9.75
富途网络科技（深圳）有限公司,富途网络,500-2000人,C轮,,运营开发工程师（Python）,2.0,本科,15k-30k,互联网金融,"['1', '3']","['15', '30']",18.75
深圳云端汇移动互联网有限公司,云端汇,50-150人,不需要融资,龙华新区,python 大数据后台开发工程师,4.0,硕士,20k-30k,大数据,"['3', '5']","['20', '30']",22.5
平安科技（深圳）有限公司,平安科技,2000人以上,上市公司,福田区,Python 后台服务器开发,4.0,本科,25k-40k,"资金丰富,领导好,大咖多,人工智能","['3', '5']","['25', '40']",28.75
图麟信息科技（上海）有限公司,图麟科技,50-150人,A轮,南山区,Python Web开发工程师（需要了解前端）,4.0,本科,12k-24k,"带薪年假,年度旅游,技术大咖,公司氛围好","['3', '5']","['12', '24']",15.0
深圳开黑科技有限公司,暴鸡电竞,150-500人,A轮,南山区,Python自动化测试,2.0,本科,10k-19k,"电竞风口,互联网平台,工作氛围好,领导奈斯","['1', '3']","['10', '19']",12.25
风变科技（深圳）有限公司,熊猫书院,50-150人,A轮,南山区,Python课程营销总监/高级经理,2.0,本科,20k-40k,"舞台大,机会多,成长快,可爱萌宠多","['1', '3']","['20', '40']",25.0
腾讯科技(深圳)有限公司,腾讯,2000人以上,上市公司,南山区,python后台开发工程师（深圳/上海）,4.0,本科,15k-30k,"行业领先,技术氛围浓,绩效奖金,腾讯福利","['3', '5']","['15', '30']",18.75
风变科技（深圳）有限公司,熊猫书院,50-150人,A轮,南山区,Python课程运营顾问,2.0,本科,10k-20k,"大牛多,舞台大,挑战大,可爱萌宠","['1', '3']","['10', '20']",12.5
深圳平安综合金融服务有限公司,平安金服,2000人以上,上市公司,罗湖区,C++/python后台研发工程师,4.0,本科,15k-30k,"免费三餐,超优厚年终,腾讯华为背","['3', '5']","['15', '30']",18.75
顺丰科技有限公司,顺丰科技有限公司,500-2000人,不需要融资,南山区,GIS平台JAVA工作流与PYTHON脚本高级研发,4.0,本科,15k-30k,"逻辑,架构,流程,沟通","['3', '5']","['15', '30']",18.75
深圳趣凡网络科技有限公司,趣凡科技,50-150人,未融资,南山区,python游戏服务器开发,2.0,大专,10k-20k,"游戏,Linux,服务器","['1', '3']","['10', '20']",12.5
深圳市大疆创新科技有限公司,DJI大疆创新,2000人以上,未融资,南山区,信息安全工程师（Python）,4.0,本科,15k-30k,"无人机行业,行业领先","['3', '5']","['15', '30']",18.75
深圳战吼网络科技有限公司,战吼,15-50人,A轮,南山区,游戏后台 C# Python 开发工程师,0.0,本科,9k-15k,"前沿技术,大牛带队,五险一金,期权奖励",[],"['9', '15']",10.5
北京筑龙信息技术有限责任公司,筑龙信息,150-500人,不需要融资,福田区,Python数据挖掘工程师,4.0,本科,10k-20k,"公司好,领导好,福利好","['3', '5']","['10', '20']",12.5
深圳华强聚丰电子科技有限公司,华强聚丰电子,150-500人,A轮,福田区,Python高级爬虫工程师（主管）,7.5,本科,18k-25k,"双休,带薪年假,年度旅游,五险一金","['5', '10']","['18', '25']",19.75
深圳晶泰科技有限公司,晶泰科技,50-150人,B轮,福田区,科学计算软件开发工程师（ Python、C/C++、Fortran）,4.0,本科,15k-25k,五险一金，年底双薪，氛围好，双休不打卡,"['3', '5']","['15', '25']",17.5
OPPO广东移动通信有限公司,OPPO,2000人以上,不需要融资,,Python测试开发工程师,4.0,本科,15k-30k,给力薪酬 海景办公楼 高配健身房 员工食堂,"['3', '5']","['15', '30']",18.75
武汉佰钧成技术有限责任公司,武汉佰钧成技术有限公司,2000人以上,不需要融资,龙岗区,python测试,2.0,本科,8K-10K,前景广阔，,"['1', '3']","['8', '10']",8.5
深圳市蝌蚪文科技有限公司,蝌蚪文,15-50人,不需要融资,福田区,Python 数据分析,2.0,大专,14k-24k,"爬虫,开发工程师,机器学习","['1', '3']","['14', '24']",16.5
